StartTimestampUTC,EndTimestampUTC,ForecastIntensity,ActualIntensity,Region,Index
2018-01-02T13:30+00:00,2018-01-02T14:00+00:00,292,268,National,moderate
2018-01-02T14:00+00:00,2018-01-02T14:30+00:00,289,262,National,moderate
2018-01-02T14:30+00:00,2018-01-02T15:00+00:00,292,259,National,moderate
2018-01-02T15:00+00:00,2018-01-02T15:30+00:00,293,263,National,moderate
2018-01-02T15:30+00:00,2018-01-02T16:00+00:00,299,274,National,moderate
2018-01-02T16:00+00:00,2018-01-02T16:30+00:00,300,293,National,high
2018-01-02T16:30+00:00,2018-01-02T17:00+00:00,309,297,National,high
2018-01-02T17:00+00:00,2018-01-02T17:30+00:00,321,294,National,high
2018-01-02T17:30+00:00,2018-01-02T18:00+00:00,328,304,National,high
2018-01-02T18:00+00:00,2018-01-02T18:30+00:00,333,304,National,high
2018-01-02T18:30+00:00,2018-01-02T19:00+00:00,335,305,National,high
2018-01-02T19:00+00:00,2018-01-02T19:30+00:00,334,293,National,high
2018-01-02T19:30+00:00,2018-01-02T20:00+00:00,328,279,National,moderate
2018-01-02T20:00+00:00,2018-01-02T20:30+00:00,310,258,National,moderate
2018-01-02T20:30+00:00,2018-01-02T21:00+00:00,292,241,National,moderate
2018-01-02T21:00+00:00,2018-01-02T21:30+00:00,271,230,National,moderate
2018-01-02T21:30+00:00,2018-01-02T22:00+00:00,258,220,National,moderate
2018-01-02T22:00+00:00,2018-01-02T22:30+00:00,246,206,National,moderate
2018-01-02T22:30+00:00,2018-01-02T23:00+00:00,225,190,National,moderate
2018-01-02T23:00+00:00,2018-01-02T23:30+00:00,205,188,National,moderate
2018-01-02T23:30+00:00,2018-01-03T00:00+00:00,192,185,National,moderate
2018-01-02T23:30+00:00,2018-01-03T00:00+00:00,192,185,National,moderate
2018-01-03T00:00+00:00,2018-01-03T00:30+00:00,180,185,National,moderate
2018-01-03T00:30+00:00,2018-01-03T01:00+00:00,173,180,National,moderate
2018-01-03T01:00+00:00,2018-01-03T01:30+00:00,187,170,National,low
2018-01-03T01:30+00:00,2018-01-03T02:00+00:00,183,167,National,low
2018-01-03T02:00+00:00,2018-01-03T02:30+00:00,174,170,National,low
2018-01-03T02:30+00:00,2018-01-03T03:00+00:00,176,169,National,low
2018-01-03T03:00+00:00,2018-01-03T03:30+00:00,178,173,National,low
2018-01-03T03:30+00:00,2018-01-03T04:00+00:00,176,180,National,moderate
2018-01-03T04:00+00:00,2018-01-03T04:30+00:00,175,184,National,moderate
2018-01-03T04:30+00:00,2018-01-03T05:00+00:00,181,176,National,low
2018-01-03T05:00+00:00,2018-01-03T05:30+00:00,196,180,National,moderate
2018-01-03T05:30+00:00,2018-01-03T06:00+00:00,206,182,National,moderate
2018-01-03T06:00+00:00,2018-01-03T06:30+00:00,228,193,National,moderate
2018-01-03T06:30+00:00,2018-01-03T07:00+00:00,251,211,National,moderate
2018-01-03T07:00+00:00,2018-01-03T07:30+00:00,274,222,National,moderate
2018-01-03T07:30+00:00,2018-01-03T08:00+00:00,293,225,National,moderate
2018-01-03T08:00+00:00,2018-01-03T08:30+00:00,292,228,National,moderate
2018-01-03T08:30+00:00,2018-01-03T09:00+00:00,295,233,National,moderate
2018-01-03T09:00+00:00,2018-01-03T09:30+00:00,292,233,National,moderate
2018-01-03T09:30+00:00,2018-01-03T10:00+00:00,290,231,National,moderate
2018-01-03T10:00+00:00,2018-01-03T10:30+00:00,292,227,National,moderate
2018-01-03T10:30+00:00,2018-01-03T11:00+00:00,287,224,National,moderate
2018-01-03T11:00+00:00,2018-01-03T11:30+00:00,285,223,National,moderate
2018-01-03T11:30+00:00,2018-01-03T12:00+00:00,275,221,National,moderate
2018-01-03T12:00+00:00,2018-01-03T12:30+00:00,266,225,National,moderate
2018-01-03T12:30+00:00,2018-01-03T13:00+00:00,266,225,National,moderate
2018-01-03T13:00+00:00,2018-01-03T13:30+00:00,258,226,National,moderate
2018-01-03T13:30+00:00,2018-01-03T14:00+00:00,259,227,National,moderate
2018-01-03T14:00+00:00,2018-01-03T14:30+00:00,261,230,National,moderate
2018-01-03T14:30+00:00,2018-01-03T15:00+00:00,267,235,National,moderate
2018-01-03T15:00+00:00,2018-01-03T15:30+00:00,270,247,National,moderate
2018-01-03T15:30+00:00,2018-01-03T16:00+00:00,277,256,National,moderate
2018-01-03T16:00+00:00,2018-01-03T16:30+00:00,280,260,National,moderate
2018-01-03T16:30+00:00,2018-01-03T17:00+00:00,291,264,National,moderate
2018-01-03T17:00+00:00,2018-01-03T17:30+00:00,302,263,National,moderate
2018-01-03T17:30+00:00,2018-01-03T18:00+00:00,304,268,National,moderate
2018-01-03T18:00+00:00,2018-01-03T18:30+00:00,305,271,National,moderate
2018-01-03T18:30+00:00,2018-01-03T19:00+00:00,302,267,National,moderate
2018-01-03T19:00+00:00,2018-01-03T19:30+00:00,294,263,National,moderate
2018-01-03T19:30+00:00,2018-01-03T20:00+00:00,289,255,National,moderate
2018-01-03T20:00+00:00,2018-01-03T20:30+00:00,276,249,National,moderate
2018-01-03T20:30+00:00,2018-01-03T21:00+00:00,264,238,National,moderate
2018-01-03T21:00+00:00,2018-01-03T21:30+00:00,250,228,National,moderate
2018-01-03T21:30+00:00,2018-01-03T22:00+00:00,238,221,National,moderate
2018-01-03T22:00+00:00,2018-01-03T22:30+00:00,224,211,National,moderate
2018-01-03T22:30+00:00,2018-01-03T23:00+00:00,211,200,National,moderate
2018-01-03T23:00+00:00,2018-01-03T23:30+00:00,200,201,National,moderate
2018-01-03T23:30+00:00,2018-01-04T00:00+00:00,191,210,National,moderate
2018-01-04T00:00+00:00,2018-01-04T00:30+00:00,192,221,National,moderate
2018-01-04T00:30+00:00,2018-01-04T01:00+00:00,202,224,National,moderate
2018-01-04T01:00+00:00,2018-01-04T01:30+00:00,210,222,National,moderate
2018-01-04T01:30+00:00,2018-01-04T02:00+00:00,221,225,National,moderate
2018-01-04T02:00+00:00,2018-01-04T02:30+00:00,227,233,National,moderate
2018-01-04T02:30+00:00,2018-01-04T03:00+00:00,236,241,National,moderate
2018-01-04T03:00+00:00,2018-01-04T03:30+00:00,245,248,National,moderate
2018-01-04T03:30+00:00,2018-01-04T04:00+00:00,250,261,National,moderate
2018-01-04T04:00+00:00,2018-01-04T04:30+00:00,257,266,National,moderate
2018-01-04T04:30+00:00,2018-01-04T05:00+00:00,264,266,National,moderate
2018-01-04T05:00+00:00,2018-01-04T05:30+00:00,272,274,National,moderate
2018-01-04T05:30+00:00,2018-01-04T06:00+00:00,278,276,National,moderate
2018-01-04T06:00+00:00,2018-01-04T06:30+00:00,300,282,National,high
2018-01-04T06:30+00:00,2018-01-04T07:00+00:00,318,297,National,high
2018-01-04T07:00+00:00,2018-01-04T07:30+00:00,339,310,National,high
2018-01-04T07:30+00:00,2018-01-04T08:00+00:00,358,314,National,high
2018-01-04T08:00+00:00,2018-01-04T08:30+00:00,350,320,National,high
2018-01-04T08:30+00:00,2018-01-04T09:00+00:00,348,323,National,high
2018-01-04T09:00+00:00,2018-01-04T09:30+00:00,343,322,National,high
2018-01-04T09:30+00:00,2018-01-04T10:00+00:00,339,324,National,high
2018-01-04T10:00+00:00,2018-01-04T10:30+00:00,330,322,National,high
2018-01-04T10:30+00:00,2018-01-04T11:00+00:00,323,326,National,high
2018-01-04T11:00+00:00,2018-01-04T11:30+00:00,321,318,National,high
2018-01-04T11:30+00:00,2018-01-04T12:00+00:00,316,308,National,high
2018-01-04T12:00+00:00,2018-01-04T12:30+00:00,308,292,National,high
2018-01-04T12:30+00:00,2018-01-04T13:00+00:00,308,279,National,moderate
2018-01-04T13:00+00:00,2018-01-04T13:30+00:00,303,276,National,moderate
2018-01-04T13:30+00:00,2018-01-04T14:00+00:00,305,274,National,moderate
2018-01-04T14:00+00:00,2018-01-04T14:30+00:00,308,272,National,moderate
2018-01-04T14:30+00:00,2018-01-04T15:00+00:00,309,278,National,moderate
2018-01-04T15:00+00:00,2018-01-04T15:30+00:00,306,284,National,high
2018-01-04T15:30+00:00,2018-01-04T16:00+00:00,309,287,National,high
2018-01-04T16:00+00:00,2018-01-04T16:30+00:00,312,298,National,high
2018-01-04T16:30+00:00,2018-01-04T17:00+00:00,314,313,National,high
2018-01-04T17:00+00:00,2018-01-04T17:30+00:00,313,319,National,high
2018-01-04T17:30+00:00,2018-01-04T18:00+00:00,315,323,National,high
2018-01-04T18:00+00:00,2018-01-04T18:30+00:00,317,323,National,high
2018-01-04T18:30+00:00,2018-01-04T19:00+00:00,324,322,National,high
2018-01-04T19:00+00:00,2018-01-04T19:30+00:00,324,317,National,high
2018-01-04T19:30+00:00,2018-01-04T20:00+00:00,322,310,National,high
2018-01-04T20:00+00:00,2018-01-04T20:30+00:00,315,300,National,high
2018-01-04T20:30+00:00,2018-01-04T21:00+00:00,306,282,National,high
2018-01-04T21:00+00:00,2018-01-04T21:30+00:00,291,266,National,moderate
2018-01-04T21:30+00:00,2018-01-04T22:00+00:00,280,259,National,moderate
2018-01-04T22:00+00:00,2018-01-04T22:30+00:00,274,254,National,moderate
2018-01-04T22:30+00:00,2018-01-04T23:00+00:00,262,250,National,moderate
2018-01-04T23:00+00:00,2018-01-04T23:30+00:00,255,245,National,moderate
2018-01-04T23:30+00:00,2018-01-05T00:00+00:00,248,252,National,moderate
2018-01-04T23:30+00:00,2018-01-05T00:00+00:00,248,252,National,moderate
2018-01-05T00:00+00:00,2018-01-05T00:30+00:00,257,263,National,moderate
2018-01-05T00:30+00:00,2018-01-05T01:00+00:00,264,271,National,moderate
2018-01-05T01:00+00:00,2018-01-05T01:30+00:00,274,278,National,moderate
2018-01-05T01:30+00:00,2018-01-05T02:00+00:00,280,278,National,moderate
2018-01-05T02:00+00:00,2018-01-05T02:30+00:00,280,282,National,high
2018-01-05T02:30+00:00,2018-01-05T03:00+00:00,281,284,National,high
2018-01-05T03:00+00:00,2018-01-05T03:30+00:00,281,285,National,high
2018-01-05T03:30+00:00,2018-01-05T04:00+00:00,273,289,National,high
2018-01-05T04:00+00:00,2018-01-05T04:30+00:00,276,293,National,high
2018-01-05T04:30+00:00,2018-01-05T05:00+00:00,278,296,National,high
2018-01-05T05:00+00:00,2018-01-05T05:30+00:00,282,298,National,high
2018-01-05T05:30+00:00,2018-01-05T06:00+00:00,283,305,National,high
2018-01-05T06:00+00:00,2018-01-05T06:30+00:00,295,312,National,high
2018-01-05T06:30+00:00,2018-01-05T07:00+00:00,306,322,National,high
2018-01-05T07:00+00:00,2018-01-05T07:30+00:00,324,338,National,high
2018-01-05T07:30+00:00,2018-01-05T08:00+00:00,331,345,National,high
2018-01-05T08:00+00:00,2018-01-05T08:30+00:00,335,365,National,high
2018-01-05T08:30+00:00,2018-01-05T09:00+00:00,336,380,National,very high
2018-01-05T09:00+00:00,2018-01-05T09:30+00:00,336,387,National,very high
2018-01-05T09:30+00:00,2018-01-05T10:00+00:00,337,388,National,very high
2018-01-05T10:00+00:00,2018-01-05T10:30+00:00,336,380,National,very high
2018-01-05T10:30+00:00,2018-01-05T11:00+00:00,336,381,National,very high
2018-01-05T11:00+00:00,2018-01-05T11:30+00:00,336,382,National,very high
2018-01-05T11:30+00:00,2018-01-05T12:00+00:00,333,380,National,very high
2018-01-05T12:00+00:00,2018-01-05T12:30+00:00,328,384,National,very high
2018-01-05T12:30+00:00,2018-01-05T13:00+00:00,322,378,National,high
2018-01-05T13:00+00:00,2018-01-05T13:30+00:00,324,375,National,high
2018-01-05T13:30+00:00,2018-01-05T14:00+00:00,323,376,National,high
2018-01-05T14:00+00:00,2018-01-05T14:30+00:00,326,377,National,high
2018-01-05T14:30+00:00,2018-01-05T15:00+00:00,327,382,National,very high
2018-01-05T15:00+00:00,2018-01-05T15:30+00:00,333,386,National,very high
2018-01-05T15:30+00:00,2018-01-05T16:00+00:00,335,394,National,very high
2018-01-05T16:00+00:00,2018-01-05T16:30+00:00,339,405,National,very high
2018-01-05T16:30+00:00,2018-01-05T17:00+00:00,344,400,National,very high
2018-01-05T17:00+00:00,2018-01-05T17:30+00:00,344,398,National,very high
2018-01-05T17:30+00:00,2018-01-05T18:00+00:00,344,396,National,very high
2018-01-05T18:00+00:00,2018-01-05T18:30+00:00,344,394,National,very high
2018-01-05T18:30+00:00,2018-01-05T19:00+00:00,340,391,National,very high
2018-01-05T19:00+00:00,2018-01-05T19:30+00:00,338,389,National,very high
2018-01-05T19:30+00:00,2018-01-05T20:00+00:00,330,379,National,high
2018-01-05T20:00+00:00,2018-01-05T20:30+00:00,317,367,National,high
2018-01-05T20:30+00:00,2018-01-05T21:00+00:00,311,360,National,high
2018-01-05T21:00+00:00,2018-01-05T21:30+00:00,304,352,National,high
2018-01-05T21:30+00:00,2018-01-05T22:00+00:00,295,335,National,high
2018-01-05T22:00+00:00,2018-01-05T22:30+00:00,275,311,National,high
2018-01-05T22:30+00:00,2018-01-05T23:00+00:00,262,296,National,high
2018-01-05T23:00+00:00,2018-01-05T23:30+00:00,261,282,National,high
2018-01-05T23:30+00:00,2018-01-06T00:00+00:00,255,274,National,moderate
2018-01-06T00:00+00:00,2018-01-06T00:30+00:00,255,269,National,moderate
2018-01-06T00:30+00:00,2018-01-06T01:00+00:00,256,266,National,moderate
2018-01-06T01:00+00:00,2018-01-06T01:30+00:00,260,269,National,moderate
2018-01-06T01:30+00:00,2018-01-06T02:00+00:00,258,265,National,moderate
2018-01-06T02:00+00:00,2018-01-06T02:30+00:00,251,263,National,moderate
2018-01-06T02:30+00:00,2018-01-06T03:00+00:00,244,256,National,moderate
2018-01-06T03:00+00:00,2018-01-06T03:30+00:00,239,253,National,moderate
2018-01-06T03:30+00:00,2018-01-06T04:00+00:00,233,238,National,moderate
2018-01-06T04:00+00:00,2018-01-06T04:30+00:00,228,235,National,moderate
2018-01-06T04:30+00:00,2018-01-06T05:00+00:00,222,228,National,moderate
2018-01-06T05:00+00:00,2018-01-06T05:30+00:00,221,220,National,moderate
2018-01-06T05:30+00:00,2018-01-06T06:00+00:00,214,216,National,moderate
2018-01-06T06:00+00:00,2018-01-06T06:30+00:00,210,229,National,moderate
2018-01-06T06:30+00:00,2018-01-06T07:00+00:00,213,233,National,moderate
2018-01-06T07:00+00:00,2018-01-06T07:30+00:00,218,218,National,moderate
2018-01-06T07:30+00:00,2018-01-06T08:00+00:00,226,220,National,moderate
2018-01-06T08:00+00:00,2018-01-06T08:30+00:00,230,224,National,moderate
2018-01-06T08:30+00:00,2018-01-06T09:00+00:00,245,236,National,moderate
2018-01-06T09:00+00:00,2018-01-06T09:30+00:00,251,245,National,moderate
2018-01-06T09:30+00:00,2018-01-06T10:00+00:00,257,245,National,moderate
2018-01-06T10:00+00:00,2018-01-06T10:30+00:00,258,244,National,moderate
2018-01-06T10:30+00:00,2018-01-06T11:00+00:00,260,242,National,moderate
2018-01-06T11:00+00:00,2018-01-06T11:30+00:00,262,246,National,moderate
2018-01-06T11:30+00:00,2018-01-06T12:00+00:00,261,245,National,moderate
2018-01-06T12:00+00:00,2018-01-06T12:30+00:00,259,253,National,moderate
2018-01-06T12:30+00:00,2018-01-06T13:00+00:00,258,249,National,moderate
2018-01-06T13:00+00:00,2018-01-06T13:30+00:00,245,244,National,moderate
2018-01-06T13:30+00:00,2018-01-06T14:00+00:00,246,240,National,moderate
2018-01-06T14:00+00:00,2018-01-06T14:30+00:00,247,242,National,moderate
2018-01-06T14:30+00:00,2018-01-06T15:00+00:00,250,240,National,moderate
2018-01-06T15:00+00:00,2018-01-06T15:30+00:00,254,248,National,moderate
2018-01-06T15:30+00:00,2018-01-06T16:00+00:00,261,269,National,moderate
2018-01-06T16:00+00:00,2018-01-06T16:30+00:00,275,283,National,high
2018-01-06T16:30+00:00,2018-01-06T17:00+00:00,288,293,National,high
2018-01-06T17:00+00:00,2018-01-06T17:30+00:00,300,298,National,high
2018-01-06T17:30+00:00,2018-01-06T18:00+00:00,309,296,National,high
2018-01-06T18:00+00:00,2018-01-06T18:30+00:00,312,292,National,high
2018-01-06T18:30+00:00,2018-01-06T19:00+00:00,314,294,National,high
2018-01-06T19:00+00:00,2018-01-06T19:30+00:00,310,294,National,high
2018-01-06T19:30+00:00,2018-01-06T20:00+00:00,304,282,National,high
2018-01-06T20:00+00:00,2018-01-06T20:30+00:00,297,268,National,moderate
2018-01-06T20:30+00:00,2018-01-06T21:00+00:00,291,265,National,moderate
2018-01-06T21:00+00:00,2018-01-06T21:30+00:00,286,261,National,moderate
2018-01-06T21:30+00:00,2018-01-06T22:00+00:00,278,250,National,moderate
2018-01-06T22:00+00:00,2018-01-06T22:30+00:00,267,238,National,moderate
2018-01-06T22:30+00:00,2018-01-06T23:00+00:00,259,233,National,moderate
2018-01-06T23:00+00:00,2018-01-06T23:30+00:00,257,228,National,moderate
2018-01-06T23:30+00:00,2018-01-07T00:00+00:00,250,227,National,moderate
2018-01-06T23:30+00:00,2018-01-07T00:00+00:00,250,227,National,moderate
2018-01-07T00:00+00:00,2018-01-07T00:30+00:00,249,224,National,moderate
2018-01-07T00:30+00:00,2018-01-07T01:00+00:00,250,220,National,moderate
2018-01-07T01:00+00:00,2018-01-07T01:30+00:00,257,228,National,moderate
2018-01-07T01:30+00:00,2018-01-07T02:00+00:00,261,233,National,moderate
2018-01-07T02:00+00:00,2018-01-07T02:30+00:00,258,233,National,moderate
2018-01-07T02:30+00:00,2018-01-07T03:00+00:00,255,234,National,moderate
2018-01-07T03:00+00:00,2018-01-07T03:30+00:00,254,235,National,moderate
2018-01-07T03:30+00:00,2018-01-07T04:00+00:00,251,229,National,moderate
2018-01-07T04:00+00:00,2018-01-07T04:30+00:00,249,230,National,moderate
2018-01-07T04:30+00:00,2018-01-07T05:00+00:00,247,226,National,moderate
2018-01-07T05:00+00:00,2018-01-07T05:30+00:00,244,227,National,moderate
2018-01-07T05:30+00:00,2018-01-07T06:00+00:00,241,229,National,moderate
2018-01-07T06:00+00:00,2018-01-07T06:30+00:00,238,233,National,moderate
2018-01-07T06:30+00:00,2018-01-07T07:00+00:00,240,238,National,moderate
2018-01-07T07:00+00:00,2018-01-07T07:30+00:00,242,250,National,moderate
2018-01-07T07:30+00:00,2018-01-07T08:00+00:00,248,248,National,moderate
2018-01-07T08:00+00:00,2018-01-07T08:30+00:00,249,240,National,moderate
2018-01-07T08:30+00:00,2018-01-07T09:00+00:00,261,248,National,moderate
2018-01-07T09:00+00:00,2018-01-07T09:30+00:00,269,253,National,moderate
2018-01-07T09:30+00:00,2018-01-07T10:00+00:00,275,254,National,moderate
2018-01-07T10:00+00:00,2018-01-07T10:30+00:00,276,256,National,moderate
2018-01-07T10:30+00:00,2018-01-07T11:00+00:00,280,258,National,moderate
2018-01-07T11:00+00:00,2018-01-07T11:30+00:00,283,256,National,moderate
2018-01-07T11:30+00:00,2018-01-07T12:00+00:00,286,257,National,moderate
2018-01-07T12:00+00:00,2018-01-07T12:30+00:00,287,256,National,moderate
2018-01-07T12:30+00:00,2018-01-07T13:00+00:00,288,255,National,moderate
2018-01-07T13:00+00:00,2018-01-07T13:30+00:00,266,257,National,moderate
2018-01-07T13:30+00:00,2018-01-07T14:00+00:00,274,258,National,moderate
2018-01-07T14:00+00:00,2018-01-07T14:30+00:00,278,265,National,moderate
2018-01-07T14:30+00:00,2018-01-07T15:00+00:00,286,278,National,moderate
2018-01-07T15:00+00:00,2018-01-07T15:30+00:00,296,297,National,high
2018-01-07T15:30+00:00,2018-01-07T16:00+00:00,307,313,National,high
2018-01-07T16:00+00:00,2018-01-07T16:30+00:00,320,337,National,high
2018-01-07T16:30+00:00,2018-01-07T17:00+00:00,331,350,National,high
2018-01-07T17:00+00:00,2018-01-07T17:30+00:00,342,351,National,high
2018-01-07T17:30+00:00,2018-01-07T18:00+00:00,345,349,National,high
2018-01-07T18:00+00:00,2018-01-07T18:30+00:00,345,347,National,high
2018-01-07T18:30+00:00,2018-01-07T19:00+00:00,345,341,National,high
2018-01-07T19:00+00:00,2018-01-07T19:30+00:00,337,338,National,high
2018-01-07T19:30+00:00,2018-01-07T20:00+00:00,327,325,National,high
2018-01-07T20:00+00:00,2018-01-07T20:30+00:00,319,308,National,high
2018-01-07T20:30+00:00,2018-01-07T21:00+00:00,310,299,National,high
2018-01-07T21:00+00:00,2018-01-07T21:30+00:00,300,276,National,moderate
2018-01-07T21:30+00:00,2018-01-07T22:00+00:00,285,249,National,moderate
2018-01-07T22:00+00:00,2018-01-07T22:30+00:00,261,233,National,moderate
2018-01-07T22:30+00:00,2018-01-07T23:00+00:00,245,222,National,moderate
2018-01-07T23:00+00:00,2018-01-07T23:30+00:00,235,204,National,moderate
2018-01-07T23:30+00:00,2018-01-08T00:00+00:00,223,205,National,moderate
2018-01-08T00:00+00:00,2018-01-08T00:30+00:00,214,218,National,moderate
2018-01-08T00:30+00:00,2018-01-08T01:00+00:00,215,214,National,moderate
2018-01-08T01:00+00:00,2018-01-08T01:30+00:00,222,216,National,moderate
2018-01-08T01:30+00:00,2018-01-08T02:00+00:00,224,212,National,moderate
2018-01-08T02:00+00:00,2018-01-08T02:30+00:00,222,206,National,moderate
2018-01-08T02:30+00:00,2018-01-08T03:00+00:00,219,201,National,moderate
2018-01-08T03:00+00:00,2018-01-08T03:30+00:00,219,202,National,moderate
2018-01-08T03:30+00:00,2018-01-08T04:00+00:00,216,202,National,moderate
2018-01-08T04:00+00:00,2018-01-08T04:30+00:00,212,200,National,moderate
2018-01-08T04:30+00:00,2018-01-08T05:00+00:00,209,199,National,moderate
2018-01-08T05:00+00:00,2018-01-08T05:30+00:00,211,201,National,moderate
2018-01-08T05:30+00:00,2018-01-08T06:00+00:00,215,205,National,moderate
2018-01-08T06:00+00:00,2018-01-08T06:30+00:00,226,220,National,moderate
